,1870.0,1880.0,1890.0,1900.0,1910.0,1920.0,1930.0,1940.0,1950.0,1960.0,1970.0,1980.0,1990.0,2000.0,2010.0
Albania,0.004643426013691141,,0.006224166784292886,0.007134504103092111,0.008288303728072884,0.009646752827820886,,,0.012136419541540863,0.017315462628769304,0.023077403875232914,0.02518247071388873,0.031021331935492197,0.047458918886365054,0.07281186362130396
Algeria,,,,,,,,,,,0.06072937879325399,0.07820291549915544,0.05200778272894979,0.07129564288183936,0.09182813476669226
Andorra,,,,,,,,,,,,,,,
Argentina,0.019793367878539816,0.026610782910336344,0.035539145512939845,0.03924824082113491,0.041404822872475114,0.047460330262053096,0.04712724559967333,0.055510111498845556,0.060293263705646576,0.07079742726395775,0.09582676371583422,0.09228350505098501,0.1049273141523798,0.10598302316704111,0.1364911184150305
Armenia,,,,,,,,,,,0.045728572292815906,0.046251486985238385,0.026036353005300043,0.03650523217140998,0.0628465431378477
Australia,0.03610792991522394,0.04346543137702793,0.03999133012089317,0.046371453918722626,0.05783323588137564,0.07014819444745482,0.07097737766418412,0.09214519023355612,0.09899177369628606,0.11873339113288367,0.14912666088719367,0.17226545960492734,0.213685807609971,0.28102042462188703,0.3159959271723476
Austria,0.015215335605092233,0.01714327479496836,0.020268060568310778,0.023535395286075667,0.022307498437542848,0.024145109583383784,0.025517672440012285,0.02706665725757645,0.04432354779536225,0.07395679174165741,0.11306954049673952,0.13739389479243508,0.20158678952486914,0.2662574349262967,0.3053833901262243
Azerbaijan,,,,,,,,,,,0.06222755408611893,0.07291378510818854,0.03691311974525639,0.03997580498832462,0.10953888340063445
Bahrain,,,,,,,,,,,0.12915004939853578,0.10506068915490052,0.11679557231319118,0.23435187612224126,0.2730538137410639
Bangladesh,,,,,,,,,0.007774562977622729,0.009100550436545585,0.008176805048716942,0.008318648305365954,0.010029941327126427,0.011497772042698294,0.020076819162438884
Belarus,,,,,,,,,,,0.0659959271732121,0.08528449301394568,0.06611307135532023,0.07642669919574469,0.13120047583592723
Belgium,0.025797830514090188,0.03146026977447571,0.03786015283193786,0.04475260600452942,0.04255579974607979,0.03997862773970072,0.038862229570453266,0.03888551726930609,0.057385829788263835,0.08329233623026329,0.1312657015549225,0.14531100671455086,0.1898469665509646,0.24736687703029886,0.2756951025280952
Bosnia,,,,,,,,,0.005016558461205212,0.008128818275323248,0.012252152347960952,0.01607839183826416,0.024111236566729446,0.047877391777871835,0.06809988507387771
Brazil,0.005351230921234038,0.005156461076283156,0.004686472972169605,0.004601084743042588,0.005133879065281415,0.006536080811358965,0.007219892332219128,0.008998931387005993,0.012655100106899192,0.018402927596411732,0.03118222876392988,0.03805139423766862,0.05263796197366407,0.06518862027964757,0.10240034679537484
Bulgaria,0.010493578240580241,,0.013224590197027316,0.013485694699245973,0.01419843942171116,0.014472649555550722,0.01696050164329533,0.017641019954193187,0.026776619553682202,0.046912716495089754,0.07008397685364855,0.08137357098235949,0.0647962578383697,0.08074480311333328,0.1144363570381675
Burkina Faso,,,,,,,,,0.010363731677350222,0.013056636490149383,0.011734883158290675,0.011010847430321088,0.009456217109934153,0.009133717765214756,0.010294977518852527
Canada,0.020833316531374754,0.024574873480253827,0.027846442325224006,0.03841341210165341,0.04874185938680239,0.05159354396450716,0.05031201483975787,0.08085065628993701,0.09241264592644156,0.11305542673985904,0.15640018549555867,0.1897220598025722,0.2205712039041223,0.27991320039461187,0.2972881424279522
Chile,0.010403250196615619,0.013866060447316553,0.016880053229005917,0.0192356392525023,0.023315220678669316,0.02455652559645032,0.023210778877824197,0.02858882593713824,0.03417716797397172,0.04152620118164741,0.045622719116212164,0.04649565497927101,0.07021452910479316,0.09356997399064246,0.14428695284042234
China,0.0052997157086413895,0.005363227614568348,0.005716071536601988,0.005927777889802412,0.005944243939479861,0.006704034518251013,0.006802046718775533,,0.007098514023046839,0.0072579994757964745,0.009989717120087574,0.015191342218254245,0.022248926346347637,0.042957336129329976,0.07809746557305072
Colombia,0.006763312297170279,0.007067463757909742,0.006864225658837617,0.006747787164594673,0.008629856644580953,0.012542190051855202,0.016096034034435353,0.01895124705128968,0.022661753735243366,0.02570891384567247,0.03903512309223938,0.04631147045198051,0.050354356110399366,0.05604643426030451,0.08590943000640677
Croatia,,,,,,,,,0.029673291731443563,0.053276609472506634,0.08962659031823113,0.11450702663501833,0.08468042421946034,0.11896626812141191,0.14360646813388564
Cyprus (G),,,,,,,,,0.03216878036987674,0.046082121902672406,0.06788575921951087,0.1138443857494789,0.14741677924112123,0.1845239631434845,0.18892977397862884
Cyprus (T),,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,0.1072645522917904,0.13038500312557938,0.13123817972900556,0.16353892372571496,0.19918745085518436
Denmark,0.019765610823294456,0.02234066576621202,0.0270708913846406,0.033790451035446055,0.037807226243635986,0.04117547432316701,0.05008196060260574,0.05109250559524945,0.07217351855980639,0.10550456680879221,0.1430993810113767,0.1586957880521718,0.20174556928977475,0.2693391737411536,0.3111438191831402
Dominican Rep.,,,,,,,,,0.01306369336851906,0.014649373954043093,0.0246059237454615,0.03338679758866379,0.04329959473368208,0.062408210174189314,0.08807689981275237
Ecuador,0.004403492146701491,0.004403492146701491,0.005179748775150094,0.006996894973479021,0.008882492892741881,0.010319979030950107,0.011138576930089603,0.01357390567989023,0.018911022844180257,0.022512853600012966,0.032633122971245154,0.037013327419107935,0.03494777909964695,0.04887452870147907,0.0734006089081174
